index,cik,ticker,name
139,1564408,SNAP,Snap Inc
140,1303523,BTI,British American Tobacco p.l.c.
141,923734,SBGSY,SCHNEIDER ELECTRIC SA
142,1329099,BIDU,"Baidu, Inc."
143,1445476,HKXCY,Hong Kong Exchanges & Clearing Ltd
144,1445465,PPRUY,Kering
145,882095,GILD,GILEAD SCIENCES INC
146,1075531,BKNG,Booking Holdings Inc.
147,1679771,DNNGY,Orsted A/S / ADR
148,1110646,NTES,"NetEase, Inc."
149,1136893,FIS,"Fidelity National Information Services, Inc."
150,1640147,SNOW,Snowflake Inc.
151,1158967,NJDCY,NIDEC CORP
152,1103982,MDLZ,"Mondelez International, Inc."
153,1378580,EADSY,Airbus SE/ADR
154,1739940,CI,Cigna Corp
155,1045609,PLD,"Prologis, Inc."
156,1161167,AIQUY,L AIR LIQUIDE SA /FI
157,64040,SPGI,S&P Global Inc.
158,109198,TJX,TJX COMPANIES INC /DE/
159,30554,CTA-PA,DUPONT E I DE NEMOURS & CO
160,10795,BDX,BECTON DICKINSON & CO
161,764180,MO,"ALTRIA GROUP, INC."
162,1067318,DMLRY,DAIMLER AG
163,313807,BP,BP PLC
164,1067491,INFY,Infosys Ltd
165,1555280,ZTS,Zoetis Inc.
166,1467858,GM,General Motors Co
167,1156039,ANTM,"Anthem, Inc."
168,16868,CNI,CANADIAN NATIONAL RAILWAY CO
169,1689565,PSTVY,Postal Savings Bank of China Co Ltd/ADR
170,1442651,SHECY,"Shin-Etsu Chemical Co., Ltd."
171,1809587,BEKE,KE Holdings Inc.
172,707549,LRCX,LAM RESEARCH CORP
173,1123658,SNP,CHINA PETROLEUM & CHEMICAL CORP
174,8670,ADP,AUTOMATIC DATA PROCESSING INC
175,798354,FISV,FISERV INC
176,1051470,CCI,CROWN CASTLE INTERNATIONAL CORP
177,718877,ATVI,"Activision Blizzard, Inc."
178,895728,ENB,ENBRIDGE INC
179,1326160,DUK,Duke Energy CORP
180,1106215,KDDIY,KDDI CORP
181,1101239,EQIX,EQUINIX INC
182,21665,CL,COLGATE PALMOLIVE CO
183,1156375,CME,CME GROUP INC.
184,896159,CB,Chubb Ltd
185,277948,CSX,CSX CORP
186,1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA
187,92230,TFC,TRUIST FINANCIAL CORP
188,9631,BNS,BANK OF NOVA SCOTIA
189,1110803,ILMN,"ILLUMINA, INC."
190,36104,USB,US BANCORP DE
191,1085922,ESLOY,ESSILOR INTERNATIONAL /FI
192,1321655,PLTR,Palantir Technologies Inc.
193,1571949,ICE,"Intercontinental Exchange, Inc."
194,1048911,FDX,FEDEX CORP
195,89800,SHW,SHERWIN WILLIAMS CO
196,1639920,SPOT,Spotify Technology S.A.
197,769397,ADSK,"Autodesk, Inc."
198,1446519,DKILY,Daikin Industries Ltd
199,92122,SO,SOUTHERN CO
200,1682852,MRNA,"Moderna, Inc."
201,713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC."
202,1091587,ABB,ABB LTD
203,49826,ITW,ILLINOIS TOOL WORKS INC
204,1420798,RBGLY,RECKITT BENCKISER GROUP PLC
205,310732,BNPQY,BNP PARIBAS
206,1792789,DASH,DoorDash Inc
207,1443276,TOELY,Tokyo Electron LTD
208,702165,NSC,NORFOLK SOUTHERN CORP
209,875320,VRTX,VERTEX PHARMACEUTICALS INC / MA
210,1450468,MRAAY,"Murata Manufacturing Co., Ltd./ADR"
211,1447669,TWLO,TWILIO INC
212,31462,ECL,ECOLAB INC.
213,2969,APD,AIR PRODUCTS & CHEMICALS INC /DE/
214,1001085,BAM,BROOKFIELD ASSET MANAGEMENT INC.
215,715957,D,"DOMINION ENERGY, INC"
216,67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
217,1650372,TEAM,Atlassian Corp Plc
218,719245,WBK,WESTPAC BANKING CORP
219,1140625,EQNR,EQUINOR ASA
220,1439584,LNSTY,London Stock Exchange Group
221,1124610,VMW,"VMWARE, INC."
222,1103838,IBN,ICICI BANK LTD
223,1327811,WDAY,"Workday, Inc."
224,860730,HCA,"HCA Healthcare, Inc."
225,6281,ADI,ANALOG DEVICES INC
